Date,Close,Open,High,Low,Vol.,Change %
5/7/2025,"96,681.40","96,892.90","97,663.80","96,213.20",20.64K,-0.14%
5/6/2025,"96,819.70","94,745.30","96,894.70","93,400.00",16.12K,2.20%
5/5/2025,"94,733.70","94,217.00","95,199.00","93,516.90",17.25K,0.48%
5/4/2025,"94,277.60","95,837.10","96,293.60","94,162.00",11.04K,-1.66%
5/3/2025,"95,873.20","96,873.00","96,908.80","95,758.00",9.72K,-1.05%
5/2/2025,"96,887.10","96,515.90","97,879.20","96,350.10",14.91K,0.41%
5/1/2025,"96,492.50","94,130.40","97,367.30","94,130.40",21.38K,2.46%
4/30/2025,"94,172.00","94,221.80","95,220.00","92,958.00",17.66K,-0.10%
4/29/2025,"94,267.20","95,011.20","95,447.90","93,742.50",16.95K,-0.75%
4/28/2025,"94,978.00","93,749.30","95,570.40","92,804.10",22.16K,1.32%
4/27/2025,"93,739.10","94,638.00","95,340.00","93,639.10",11.16K,-0.94%
4/26/2025,"94,628.00","94,652.20","95,199.00","93,870.70",9.42K,-0.01%
4/25/2025,"94,633.00","93,960.00","95,690.50","92,856.00",27.50K,0.69%
4/24/2025,"93,980.50","93,691.10","94,000.00","91,660.30",19.50K,0.30%
4/23/2025,"93,695.10","93,554.20","94,469.60","91,979.10",27.41K,0.27%
4/22/2025,"93,443.00","87,548.80","93,853.90","87,084.10",43.87K,6.77%
4/21/2025,"87,516.20","85,230.00","88,445.30","85,154.70",31.77K,2.74%
4/20/2025,"85,179.30","85,077.00","85,320.80","83,984.60",8.09K,0.12%
4/19/2025,"85,076.60","84,474.70","85,613.60","84,370.80",9.67K,0.71%
4/18/2025,"84,474.70","84,950.00","85,109.30","84,334.80",6.53K,-0.56%
4/17/2025,"84,947.90","84,023.20","85,470.00","83,811.40",13.73K,1.09%
4/16/2025,"84,030.40","83,620.50","85,500.00","83,111.60",20.87K,0.46%
4/15/2025,"83,644.00","84,625.30","86,446.30","83,600.80",20.91K,-1.12%
4/14/2025,"84,591.60","83,768.00","85,800.00","83,704.00",28.66K,0.99%
4/13/2025,"83,760.00","85,315.10","86,000.00","83,050.00",24.68K,-1.78%
4/12/2025,"85,277.50","83,468.00","85,898.00","82,799.90",18.47K,2.22%
4/11/2025,"83,423.80","79,592.00","84,283.00","79,006.00",34.44K,4.79%
4/10/2025,"79,609.70","82,652.20","82,742.30","78,508.40",33.29K,-3.64%
4/9/2025,"82,615.20","76,363.20","83,572.60","74,662.00",75.49K,8.25%
4/8/2025,"76,322.40","79,133.90","80,854.00","76,248.60",35.32K,-3.58%
4/7/2025,"79,157.60","78,388.00","81,212.00","74,518.00",78.39K,0.94%
4/6/2025,"78,420.00","83,599.50","83,740.70","77,180.00",27.95K,-6.12%
4/5/2025,"83,532.60","83,880.00","84,257.60","82,385.80",9.36K,-0.43%
4/4/2025,"83,889.90","83,196.70","84,699.70","81,669.20",32.92K,0.86%
4/3/2025,"83,172.30","82,491.30","83,932.00","81,314.60",27.34K,0.78%
4/2/2025,"82,526.90","85,165.30","88,440.00","82,357.70",39.93K,-3.08%
4/1/2025,"85,152.50","82,497.80","85,551.90","82,432.70",20.19K,3.15%
3/31/2025,"82,550.00","82,415.00","83,900.60","81,300.00",20.57K,0.22%
3/30/2025,"82,369.40","82,621.70","83,534.60","81,578.00",9.86K,-0.34%
3/29/2025,"82,648.50","84,424.40","84,611.40","81,662.00",11.70K,-2.10%
3/28/2025,"84,424.40","87,240.00","87,515.70","83,606.60",27.18K,-3.22%
3/27/2025,"87,232.00","86,918.80","87,747.80","85,831.90",17.10K,0.37%
3/26/2025,"86,909.20","87,486.20","88,275.00","85,860.30",18.41K,-0.55%
3/25/2025,"87,392.90","87,450.90","88,516.00","86,329.00",22.64K,-0.10%
3/24/2025,"87,480.80","86,083.90","88,758.00","85,535.50",30.12K,1.64%
3/23/2025,"86,068.20","83,809.80","86,088.00","83,809.80",8.46K,2.66%
3/22/2025,"83,840.60","84,088.80","84,539.20","83,678.60",5.42K,-0.29%
3/21/2025,"84,080.40","84,223.40","84,835.00","83,199.10",11.95K,-0.17%
3/20/2025,"84,223.40","86,848.10","87,452.80","83,661.90",22.09K,-3.00%
3/19/2025,"86,828.90","82,715.00","87,000.00","82,547.20",28.15K,4.97%
3/18/2025,"82,715.00","84,021.70","84,021.70","81,160.70",17.61K,-1.54%
3/17/2025,"84,010.00","82,590.90","84,727.10","82,473.40",17.22K,1.73%
3/16/2025,"82,581.90","84,364.10","85,039.50","82,007.10",17.60K,-2.08%
3/15/2025,"84,338.40","84,024.10","84,676.30","83,636.40",11.33K,0.43%
3/14/2025,"83,975.90","81,097.00","85,286.80","80,833.30",26.86K,3.53%
3/13/2025,"81,113.40","83,695.40","84,319.00","79,950.60",27.55K,-3.05%
3/12/2025,"83,669.40","82,933.00","84,391.40","80,636.90",31.93K,0.90%
3/11/2025,"82,924.10","78,641.50","83,593.60","76,681.60",48.79K,5.50%
3/10/2025,"78,600.00","80,688.70","83,989.10","77,482.00",47.63K,-2.61%
3/9/2025,"80,703.90","86,188.00","86,489.20","80,035.10",26.11K,-6.40%
3/8/2025,"86,222.50","86,794.40","86,897.20","85,240.00",12.99K,-0.17%
3/7/2025,"86,368.10","89,939.00","91,085.70","84,980.80",58.05K,-3.96%
3/6/2025,"89,931.90","90,559.50","92,804.40","87,854.30",34.34K,-0.74%
3/5/2025,"90,606.00","87,262.90","90,948.50","86,429.90",38.26K,3.81%
3/4/2025,"87,282.00","86,169.80","88,900.90","81,554.70",55.61K,1.23%
3/3/2025,"86,224.80","94,266.40","94,405.90","85,140.00",59.17K,-8.53%
3/2/2025,"94,265.50","86,030.10","94,954.00","85,065.50",54.89K,9.53%
3/1/2025,"86,064.50","84,364.00","86,546.70","83,842.60",25.79K,2.03%
2/28/2025,"84,349.90","84,735.80","85,075.10","78,296.80",83.65K,-0.42%
2/27/2025,"84,708.60","84,327.80","87,046.60","82,725.60",42.51K,0.54%
2/26/2025,"84,250.10","88,641.90","89,390.70","82,322.00",56.89K,-5.00%
2/25/2025,"88,680.40","91,517.60","92,515.10","86,126.80",78.33K,-3.00%
2/24/2025,"91,425.60","96,283.60","96,499.00","91,403.70",31.52K,-5.02%
2/23/2025,"96,254.00","96,522.00","96,650.00","95,256.00",10.88K,-0.31%
2/22/2025,"96,551.00","96,157.90","96,918.40","95,801.70",11.31K,0.43%
2/21/2025,"96,133.40","98,391.50","99,475.00","94,918.50",32.25K,-2.21%
2/20/2025,"98,305.00","96,600.00","98,710.20","96,437.40",17.06K,1.72%
2/19/2025,"96,644.40","95,671.70","96,848.80","95,047.70",16.63K,1.07%
2/18/2025,"95,622.60","95,837.70","96,586.20","93,391.90",23.15K,-0.16%
2/17/2025,"95,780.00","96,050.00","96,970.10","95,229.20",16.49K,-0.38%
2/16/2025,"96,150.10","97,569.70","97,704.50","96,073.50",8.19K,-1.45%
2/15/2025,"97,569.70","97,449.30","97,972.30","97,251.70",7.35K,0.06%
2/14/2025,"97,510.20","96,689.40","98,813.50","96,288.70",18.18K,0.94%
2/13/2025,"96,597.70","97,791.00","98,063.10","95,279.10",19.92K,-1.30%
2/12/2025,"97,872.70","95,778.20","98,100.00","94,110.80",29.15K,2.21%
2/11/2025,"95,760.00","97,467.10","98,477.00","94,900.00",18.65K,-1.71%
2/10/2025,"97,430.80","96,512.90","98,312.60","95,270.60",20.57K,1.01%
2/9/2025,"96,460.40","96,476.50","97,278.10","94,743.40",14.12K,0.02%
2/8/2025,"96,438.70","96,409.70","96,847.80","95,714.70",10.15K,-0.07%
2/7/2025,"96,506.80","96,556.00","100,116.10","95,687.00",31.80K,-0.06%
2/6/2025,"96,567.50","96,618.80","99,108.30","95,732.00",23.51K,-0.02%
